CNPJ_NORMALIZADO,razao_social,Municipio,Porte,CNAE PRIMARIO,TEM_SESI,TEM_SENAI,STATUS_COMERCIAL,OPORTUNIDADE_CROSS_SELL
30334493000167,SILVIO FEITOZA DA HORA,Maceió,MICRO EMPRESA,Servicos de comunicacao multimidia - scm,1,0,SOMENTE SESI,SESI → SENAI
54430907000110,SITGES EMPREENDIMENTO IMOBILIARIO SPE LTDA,Maceió,DEMAIS,Incorporacao de empreendimentos imobiliarios,1,0,SOMENTE SESI,SESI → SENAI
21525643000129,SOCITEC SERVICOS TECNICOS EM INSTALACOES LTDA,Maceió,PEQUENO PORTE,"Instalacao de portas, janelas, tetos, divisorias e armarios embutidos de qualquer material",1,0,SOMENTE SESI,SESI → SENAI
12517553000103,SOCITEC SOCIEDADE TECNICA EM ESQUADRIAS LTDA,Maceió,PEQUENO PORTE,Fabricacao de esquadrias de metal,1,0,SOMENTE SESI,SESI → SENAI
2751862000181,SOLO INCORPORACOES LTDA,Maceió,PEQUENO PORTE,Construcao de edificios,1,0,SOMENTE SESI,SESI → SENAI
43091153000102,SPE MACEIO AMBIENTAL S/A,Maceió,DEMAIS,Tratamento e disposicao de residuos nao perigosos,1,0,SOMENTE SESI,SESI → SENAI
51022392000120,SSD STUDIO SUPORT DESING E CIA LTDA,Maceió,MICRO EMPRESA,Fabricacao de moveis com predominancia de metal,1,0,SOMENTE SESI,SESI → SENAI
12633133000184,SULCAR LANTERNAGEM E PINTURA LTDA,Maceió,MICRO EMPRESA,Servicos de lanternagem ou funilaria e pintura de veiculos automotores,1,0,SOMENTE SESI,SESI → SENAI
31895963000124,SUPER SPRING INDUSTRIA METALURGICA LTDA,Maceió,PEQUENO PORTE,Fabricacao de outros produtos de metal nao especificados anteriormente,1,0,SOMENTE SESI,SESI → SENAI
26155529000178,SUPERPAVER ASFALTOS LTDA,Maceió,DEMAIS,"Obras de urbanizacao - ruas, pracas e calcadas",1,0,SOMENTE SESI,SESI → SENAI
52673825000170,SUPERPAVER SOLUCOES EM PAVIMENTOS LTDA,Maceió,DEMAIS,Fabricacao de outros produtos de minerais nao metalicos nao especificados anteriormente,1,0,SOMENTE SESI,SESI → SENAI
24751061000159,T Z CONFECCOES LTDA,Maceió,MICRO EMPRESA,"Confeccao de pecas de vestuario, exceto roupas intimas e as confeccionadas sob medida",1,0,SOMENTE SESI,SESI → SENAI
