Porte,CNAE PRIMARIO,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
DEMAIS,Fabricacao de conservas de frutas,14,2,2,0,4,10,14.2857,14.2857,28.5714,12,12,10
DEMAIS,"Fabricacao de conservas de peixes, crustaceos e moluscos",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Fabricacao de cosmeticos, produtos de perfumaria e de higiene pessoal",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Fabricacao de embalagens de material plastico,5,2,0,0,2,3,40.0,0.0,40.0,3,5,3
DEMAIS,Fabricacao de embalagens de papel,2,1,1,1,1,1,50.0,50.0,50.0,1,1,1
DEMAIS,"Fabricacao de equipamentos para irrigacao agricola, pecas e acessorios",1,1,0,0,1,0,100.0,0.0,100.0,0,1,0
DEMAIS,"Fabricacao de equipamentos transmissores de comunicacao, pecas e acessorios",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Fabricacao de especiarias, molhos, temperos e condimentos",3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
DEMAIS,Fabricacao de esquadrias de madeira e de pecas de madeira para instalacoes industriais e comerciais,6,2,1,1,2,4,33.3333,16.6667,33.3333,4,5,4
DEMAIS,Fabricacao de esquadrias de metal,1,0,1,0,1,0,0.0,100.0,100.0,1,0,0
DEMAIS,Fabricacao de estruturas metalicas,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Fabricacao de estruturas pre moldadas de concreto armado, em serie e sob encomenda",4,0,1,0,1,3,0.0,25.0,25.0,4,3,3
DEMAIS,Fabricacao de farinha de mandioca e derivados,1,1,0,0,1,0,100.0,0.0,100.0,0,1,0
DEMAIS,"Fabricacao de farinha de milho e derivados, exceto oleos de milho",4,2,0,0,2,2,50.0,0.0,50.0,2,4,2
DEMAIS,"Fabricacao de fios, cabos e condutores eletricos isolados",1,1,1,1,1,0,100.0,100.0,100.0,0,0,0
DEMAIS,Fabricacao de gases industriais,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
DEMAIS,Fabricacao de gelo comum,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,"Fabricacao de geradores de corrente continua e alternada, pecas e acessorios",3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
DEMAIS,"Fabricacao de impermeabilizantes, solventes e produtos afins",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
