Municipio,Porte,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
Penedo,PEQUENO PORTE,21,1,0,0,1,20,4.7619,0.0,4.7619,20,21,20
Piaçabuçu,DEMAIS,12,0,0,0,0,12,0.0,0.0,0.0,12,12,12
Piaçabuçu,MICRO EMPRESA,38,0,0,0,0,38,0.0,0.0,0.0,38,38,38
Piaçabuçu,PEQUENO PORTE,5,2,1,1,2,3,40.0,20.0,40.0,3,4,3
Pilar,DEMAIS,56,3,3,0,6,50,5.3571,5.3571,10.7143,53,53,50
Pilar,MICRO EMPRESA,343,2,1,0,3,340,0.5831,0.2915,0.8746,341,342,340
Pilar,PEQUENO PORTE,43,2,1,1,2,41,4.6512,2.3256,4.6512,41,42,41
Pindoba,DEMAIS,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Pindoba,MICRO EMPRESA,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
Piranhas,DEMAIS,11,0,0,0,0,11,0.0,0.0,0.0,11,11,11
Piranhas,MICRO EMPRESA,118,0,0,0,0,118,0.0,0.0,0.0,118,118,118
Piranhas,PEQUENO PORTE,6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
Porto Calvo,DEMAIS,12,1,0,0,1,11,8.3333,0.0,8.3333,11,12,11
Porto Calvo,MICRO EMPRESA,165,2,0,0,2,163,1.2121,0.0,1.2121,163,165,163
Porto Calvo,PEQUENO PORTE,8,0,0,0,0,8,0.0,0.0,0.0,8,8,8
Porto Real do Colégio,DEMAIS,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
Porto Real do Colégio,MICRO EMPRESA,43,0,0,0,0,43,0.0,0.0,0.0,43,43,43
Porto Real do Colégio,PEQUENO PORTE,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
Porto de Pedras,DEMAIS,27,1,0,0,1,26,3.7037,0.0,3.7037,26,27,26
Porto de Pedras,MICRO EMPRESA,102,0,0,0,0,102,0.0,0.0,0.0,102,102,102
Porto de Pedras,PEQUENO PORTE,17,0,0,0,0,17,0.0,0.0,0.0,17,17,17
Poço das Trincheiras,DEMAIS,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Poço das Trincheiras,MICRO EMPRESA,20,0,0,0,0,20,0.0,0.0,0.0,20,20,20
Pão de Açúcar,DEMAIS,6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
Pão de Açúcar,MICRO EMPRESA,99,1,1,1,1,98,1.0101,1.0101,1.0101,98,98,98
Quebrangulo,DEMAIS,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
Quebrangulo,MICRO EMPRESA,72,2,0,0,2,70,2.7778,0.0,2.7778,70,72,70
Quebrangulo,PEQUENO PORTE,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Rio Largo,DEMAIS,49,5,4,2,7,42,10.2041,8.1633,14.2857,44,45,42
Rio Largo,MICRO EMPRESA,917,7,3,2,8,909,0.7634,0.3272,0.8724,910,914,909
Rio Largo,PEQUENO PORTE,64,5,3,2,6,58,7.8125,4.6875,9.375,59,61,58
Roteiro,DEMAIS,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Roteiro,MICRO EMPRESA,17,0,0,0,0,17,0.0,0.0,0.0,17,17,17
Santa Luzia do Norte,DEMAIS,9,0,0,0,0,9,0.0,0.0,0.0,9,9,9
Santa Luzia do Norte,MICRO EMPRESA,55,0,0,0,0,55,0.0,0.0,0.0,55,55,55
Santa Luzia do Norte,PEQUENO PORTE,8,1,0,0,1,7,12.5,0.0,12.5,7,8,7
Santana do Ipanema,DEMAIS,9,0,2,0,2,7,0.0,22.2222,22.2222,9,7,7
Santana do Ipanema,MICRO EMPRESA,268,5,2,1,6,262,1.8657,0.7463,2.2388,263,266,262
Santana do Ipanema,PEQUENO PORTE,16,1,1,0,2,14,6.25,6.25,12.5,15,15,14
Santana do Mundaú,DEMAIS,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Santana do Mundaú,MICRO EMPRESA,32,0,0,0,0,32,0.0,0.0,0.0,32,32,32
Santana do Mundaú,PEQUENO PORTE,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Satuba,DEMAIS,7,0,0,0,0,7,0.0,0.0,0.0,7,7,7
Satuba,MICRO EMPRESA,292,0,0,0,0,292,0.0,0.0,0.0,292,292,292
Satuba,PEQUENO PORTE,19,1,0,0,1,18,5.2632,0.0,5.2632,18,19,18
Senador Rui Palmeira,DEMAIS,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Senador Rui Palmeira,MICRO EMPRESA,24,0,0,0,0,24,0.0,0.0,0.0,24,24,24
Senador Rui Palmeira,PEQUENO PORTE,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
São Brás,DEMAIS,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
São Brás,MICRO EMPRESA,17,0,0,0,0,17,0.0,0.0,0.0,17,17,17
São Brás,PEQUENO PORTE,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
São José da Laje,DEMAIS,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
São José da Laje,MICRO EMPRESA,192,0,0,0,0,192,0.0,0.0,0.0,192,192,192
São José da Laje,PEQUENO PORTE,11,0,0,0,0,11,0.0,0.0,0.0,11,11,11
São José da Tapera,DEMAIS,9,0,1,0,1,8,0.0,11.1111,11.1111,9,8,8
São José da Tapera,MICRO EMPRESA,104,1,0,0,1,103,0.9615,0.0,0.9615,103,104,103
São José da Tapera,PEQUENO PORTE,7,0,1,0,1,6,0.0,14.2857,14.2857,7,6,6
São Luís do Quitunde,DEMAIS,9,1,1,1,1,8,11.1111,11.1111,11.1111,8,8,8
São Luís do Quitunde,MICRO EMPRESA,140,0,0,0,0,140,0.0,0.0,0.0,140,140,140
São Luís do Quitunde,PEQUENO PORTE,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
São Miguel dos Campos,DEMAIS,26,3,1,1,3,23,11.5385,3.8462,11.5385,23,25,23
