CNAE PRIMARIO,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
Fabricacao de produtos ceramicos nao refratarios nao especificados anteriormente,70,0,0,0,0,70,0.0,0.0,0.0,70,70,70
Instalacao de paineis publicitarios,66,0,0,0,0,66,0.0,0.0,0.0,66,66,66
Manutencao e reparacao de maquinas e equipamentos para uso geral nao especificados anteriormente,66,0,0,0,0,66,0.0,0.0,0.0,66,66,66
Outras obras de engenharia civil nao especificadas anteriormente,66,1,1,1,1,65,1.5152,1.5152,1.5152,65,65,65
Recuperacao de materiais plasticos,62,1,2,1,2,60,1.6129,3.2258,3.2258,61,60,60
"Manutencao e reparacao de equipamentos hidraulicos e pneumaticos, exceto valvulas",62,1,2,1,2,60,1.6129,3.2258,3.2258,61,60,60
"Obras de urbanizacao - ruas, pracas e calcadas",62,3,3,0,6,56,4.8387,4.8387,9.6774,59,59,56
Fabricacao de acucar em bruto,60,7,4,2,9,51,11.6667,6.6667,15.0,53,56,51
"Fabricacao de estruturas pre moldadas de concreto armado, em serie e sob encomenda",59,4,5,2,7,52,6.7797,8.4746,11.8644,55,54,52
Desenvolvimento e licenciamento de programas de computador nao customizaveis,58,0,0,0,0,58,0.0,0.0,0.0,58,58,58
Recuperacao de sucatas de aluminio,56,1,0,0,1,55,1.7857,0.0,1.7857,55,56,55
Manutencao e reparacao de equipamentos e produtos nao especificados anteriormente,54,0,0,0,0,54,0.0,0.0,0.0,54,54,54
Faccao de roupas profissionais,53,2,1,1,2,51,3.7736,1.8868,3.7736,51,52,51
Fabricacao de sorvetes e outros gelados comestiveis,51,8,6,5,9,42,15.6863,11.7647,17.6471,43,45,42
"Captacao, tratamento e distribuicao de agua",49,4,4,3,5,44,8.1633,8.1633,10.2041,45,45,44
"Manutencao e reparacao de maquinas, aparelhos e materiais eletricos nao especificados anteriormente",47,3,3,2,4,43,6.383,6.383,8.5106,44,44,43
Perfuracao e construcao de pocos de agua,45,3,0,0,3,42,6.6667,0.0,6.6667,42,45,42
Fabricacao de embalagens de material plastico,45,9,3,2,10,35,20.0,6.6667,22.2222,36,42,35
"Fabricacao de especiarias, molhos, temperos e condimentos",45,1,2,1,2,43,2.2222,4.4444,4.4444,44,43,43
"Fabricacao de artigos para viagem, bolsas e semelhantes de qualquer material",45,2,1,1,2,43,4.4444,2.2222,4.4444,43,44,43
Instalacoes de sistema de prevencao contra incendio,44,0,0,0,0,44,0.0,0.0,0.0,44,44,44
Acabamento de calcados de couro sob contrato,44,0,0,0,0,44,0.0,0.0,0.0,44,44,44
Fabricacao de artefatos de couro nao especificados anteriormente,44,0,0,0,0,44,0.0,0.0,0.0,44,44,44
Fabricacao de artefatos de cimento para uso na construcao,43,5,3,2,6,37,11.6279,6.9767,13.9535,38,40,37
