cnpj_basico,opcao_simples,data_opcao_simples,data_exclusao_simples,opcao_mei,data_opcao_mei,data_exclusao_mei
44595457,S,20211215,00000000,S,20211215,00000000
44595821,S,20211215,00000000,S,20211215,00000000
44597856,S,20211215,00000000,N,00000000,00000000
44599961,S,20211215,00000000,S,20211215,00000000
44601038,S,20211215,00000000,S,20211215,00000000
44602329,S,20211215,00000000,S,20211215,00000000
44603148,S,20260101,20261231,N,00000000,00000000
44603367,S,20211215,00000000,S,20211215,00000000
44603899,S,20211215,00000000,S,20211215,00000000
44604600,S,20211215,00000000,S,20211215,00000000
44605505,S,20211216,00000000,S,20211216,00000000
44605562,S,20260101,20261231,N,00000000,00000000
44607499,S,20211216,00000000,S,20211216,00000000
44608780,N,20211216,20251231,N,20211216,20251231
44616628,N,20211216,20251231,N,20211216,20251231
44617812,S,20211216,00000000,S,20211216,00000000
44619027,S,20211217,20261231,S,20211217,20261231
44619586,S,20211217,00000000,S,20211217,00000000
44620443,S,20211217,20261231,S,20211217,20261231
44625400,N,20220101,20250731,N,00000000,00000000
44627969,S,20260101,00000000,N,20211217,20211231
44628232,S,20260101,00000000,N,00000000,00000000
44630675,S,20211218,20261231,S,20211218,20261231
44631145,S,20211218,20261231,S,20211218,20261231
44632520,N,20211219,20251231,N,20211219,20251231
44634189,S,20211220,20261231,N,20211220,20230831
44635644,S,20211220,00000000,S,20211220,00000000
44638214,N,20211220,20251231,N,00000000,00000000
44639222,N,20211220,20251231,N,20211220,20251231
44640253,S,20211220,00000000,S,20211220,00000000
44640989,S,20211220,00000000,S,20211220,00000000
