CNPJ,Razão Social,Categoria,Porte,CNAE,Origem da Cobertura,TEM_SESI,TEM_SENAI,TEM_SESI_SENAI,STATUS_RELACIONAMENTO,QTD_REGISTROS_BASE,SEBRAE_situacao_atual,SEBRAE_razao_social,SEBRAE_SETOR,SEBRAE_CNAE PRIMARIO,SEBRAE_Porte,SEBRAE_Municipio,SEBRAE_SESI,SEBRAE_SENAI,SEBRAE_cnae_codigo_recuperado,SEBRAE_cnae_norm,SEBRAE_cnae_divisao,SEBRAE_secao,SEBRAE_setor,SEBRAE_subsetor,SEBRAE_e_industria,SEBRAE_auditoria,SEBRAE_elegivel_sebrae,SEBRAE_oportunidade_comercial,ENCONTRADO_SEBRAE
26260065000160,Cacau Matriz & Ecoturismo Ltda,Industria | Indústria,4.Micro,Fabricação de produtos derivados do cacau e de chocolates,Migração | Proposta,True,True,True,SESI + SENAI,2,ATIVA,CACAU MATRIZ & ECOTURISMO LTDA,INDÚSTRIA,Fabricacao de produtos derivados do cacau e de chocolates,MICRO EMPRESA,Matriz de Camaragibe,26260065000160.0,26260065000160.0,1093-7/01,1093701.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True
26372008000172,Marinho & Cia Industria De Plasticos Ltda,Indústria,3.Pequena,"Fabricação de móveis de outros materiais, exceto madeira e metal",Migração,True,False,False,SOMENTE SESI,1,ATIVA,MARINHO & CIA INDUSTRIA DE PLASTICOS LTDA,INDÚSTRIA,"Fabricacao de moveis de outros materiais, exceto madeira e metal",DEMAIS,Maceió,26372008000172.0,,3103-9/00,3103900.0,31.0,C,Industria de transformacao,Moveis,True,False,SIM,NÃO ATENDIDA,True
26391611000100,Hop Bros Cervejaria Ltda,Indústria,4.Micro,Fabricação de cervejas e chopes,Migração,True,False,False,SOMENTE SESI,1,ATIVA,HOP BROS CERVEJARIA LTDA,INDÚSTRIA,Fabricacao de cervejas e chopes,PEQUENO PORTE,Maceió,26391611000100.0,26391611000100.0,1113-5/02,1113502.0,11.0,C,Industria de transformacao,Bebidas,True,False,SIM,NÃO ATENDIDA,True
26405315000102,Locanet Telecomunicacoes Ltda,Indústria,4.Micro,Serviços de comunicação multimídia - SCM,Migração,True,False,False,SOMENTE SESI,1,ATIVA,LOCANET TELECOMUNICACOES LTDA,INDÚSTRIA,Servicos de comunicacao multimidia - scm,MICRO EMPRESA,Arapiraca,26405315000102.0,,6110-8/03,6110803.0,61.0,J,Informacao e comunicacao,Informacao e comunicacao,False,False,NAO,FORA DO ESCOPO SEBRAE,True
26479090000139,Industria De Alimentos Compostela Ltda,Industria,2.Média,Fabricação de conservas de frutas,Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,INDUSTRIA DE ALIMENTOS COMPOSTELA LTDA,INDÚSTRIA,Fabricacao de conservas de frutas,DEMAIS,Arapiraca,,26479090000139.0,1031-7/00,1031700.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True
26600027000109,L Carlos Gomes  Ltda,Industria,4.Micro,Serviços de manutenção e reparação mecânica de veículos automotores,Migração,False,True,False,SOMENTE SENAI,1,ATIVA,L CARLOS GOMES LTDA,INDÚSTRIA,Servicos de manutencao e reparacao mecanica de veiculos automotores,MICRO EMPRESA,Girau do Ponciano,,26600027000109.0,4520-0/01,4520001.0,45.0,G,Comercio e reparacao de veiculos,Comercio e reparacao de veiculos,False,False,NAO,FORA DO ESCOPO SEBRAE,True
26609733000111,Seabra Engenharia E Projetos Ltda,Industria,3.Pequena,Construção de edifícios,Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,SEABRA ENGENHARIA E PROJETOS LTDA,INDÚSTRIA,Construcao de edificios,PEQUENO PORTE,São Miguel dos Campos,,26609733000111.0,4120-4/00,4120400.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True
26688379000168,Podium Comunicacao Visual Ltda,Industria | Indústria,3.Pequena,Impressão de material para uso publicitário,Migração | Proposta,True,True,True,SESI + SENAI,2,ATIVA,PODIUM COMUNICACAO VISUAL LTDA,INDÚSTRIA,Impressao de material para uso publicitario,PEQUENO PORTE,Maceió,26688379000168.0,26688379000168.0,1813-0/01,1813001.0,18.0,C,Industria de transformacao,Impressao e reproducao de gravacoes,True,False,SIM,NÃO ATENDIDA,True
26773483000150,Newplast Industria E Comercio De Embalagens Ltda,Industria | Indústria,2.Média,Fabricação de laminados planos e tubulares de material plástico,Migração | Proposta,True,True,True,SESI + SENAI,2,ATIVA,NEWPLAST INDUSTRIA E COMERCIO DE EMBALAGENS LTDA,INDÚSTRIA,Fabricacao de laminados planos e tubulares de material plastico,DEMAIS,Maceió,26773483000150.0,26773483000150.0,2221-8/00,2221800.0,22.0,C,Industria de transformacao,Borracha e material plastico,True,False,SIM,NÃO ATENDIDA,True
26777267000183,Tca - Industria De Alimentos Ltda,Indústria,4.Micro,Fabricação de conservas de frutas,Migração,True,False,False,SOMENTE SESI,1,ATIVA,TCA - INDUSTRIA DE ALIMENTOS LTDA,INDÚSTRIA,Fabricacao de conservas de frutas,MICRO EMPRESA,Arapiraca,26777267000183.0,,1031-7/00,1031700.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True
26807886000173,Adriano Souza De Santana,Indústria,4.Micro,Serviços de comunicação multimídia - SCM,Migração,True,False,False,SOMENTE SESI,1,ATIVA,ADRIANO SOUZA DE SANTANA,INDÚSTRIA,Servicos de comunicacao multimidia - scm,PEQUENO PORTE,Lagoa da Canoa,26807886000173.0,,6110-8/03,6110803.0,61.0,J,Informacao e comunicacao,Informacao e comunicacao,False,False,NAO,FORA DO ESCOPO SEBRAE,True
26969453000114,Alepack Industria E Comercio Plasticos Ltda,Industria | Indústria,3.Pequena,Fabricação de artefatos de material plástico para uso pessoal e doméstico,Migração | Proposta,True,True,True,SESI + SENAI,2,ATIVA,ALEPACK INDUSTRIA E COMERCIO PLASTICOS LTDA,INDÚSTRIA,Fabricacao de artefatos de material plastico para uso pessoal e domestico,DEMAIS,Rio Largo,26969453000114.0,26969453000114.0,2229-3/01,2229301.0,22.0,C,Industria de transformacao,Borracha e material plastico,True,False,SIM,NÃO ATENDIDA,True
27052087000105,I F De Lima Tecidos,Não Indústria,4.Micro,Comércio varejista de tecidos,Migração,True,False,False,SOMENTE SESI,1,ATIVA,I F DE LIMA CAPOTARIA LTDA,INDÚSTRIA,Servicos de capotaria,MICRO EMPRESA,Maceió,,,4520-0/08,4520008.0,45.0,G,Comercio e reparacao de veiculos,Comercio e reparacao de veiculos,False,False,NAO,FORA DO ESCOPO SEBRAE,True
