CNPJ,Razão Social,Categoria,Porte,CNAE,Origem da Cobertura,TEM_SESI,TEM_SENAI,TEM_SESI_SENAI,STATUS_RELACIONAMENTO,QTD_REGISTROS_BASE,SEBRAE_situacao_atual,SEBRAE_razao_social,SEBRAE_SETOR,SEBRAE_CNAE PRIMARIO,SEBRAE_Porte,SEBRAE_Municipio,SEBRAE_SESI,SEBRAE_SENAI,SEBRAE_cnae_codigo_recuperado,SEBRAE_cnae_norm,SEBRAE_cnae_divisao,SEBRAE_secao,SEBRAE_setor,SEBRAE_subsetor,SEBRAE_e_industria,SEBRAE_auditoria,SEBRAE_elegivel_sebrae,SEBRAE_oportunidade_comercial,ENCONTRADO_SEBRAE
55699378000117,Consorcio Creches Seduc/al 2024.,Industria,2.Média,Construção de edifícios,Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,CONSORCIO CRECHES SEDUC/AL 2024.,INDÚSTRIA,Construcao de edificios,DEMAIS,Maceió,,55699378000117.0,4120-4/00,4120400.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True
55963809000100,Lais Carvalho Lima Jatoba,Não Indústria,4.Micro,Cabeleireiros,Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
56022975000175,Restaurante Fusion Ltda,Não Indústria,3.Pequena,Restaurantes e similares,Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
56083430000179,Mahi Patacho Empreendimento Imobiliario Spe Ltda,Industria,4.Micro,Incorporação de empreendimentos imobiliários,Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,MAHI PATACHO EMPREENDIMENTO IMOBILIARIO SPE LTDA,INDÚSTRIA,Incorporacao de empreendimentos imobiliarios,DEMAIS,Maceió,,56083430000179.0,4110-7/00,4110700.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True
56173759000120,Consorcio Educacao Alagoas,Industria,4.Micro,Administração de obras,Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,CONSORCIO EDUCACAO ALAGOAS,INDÚSTRIA,Administracao de obras,DEMAIS,Maceió,,56173759000120.0,4399-1/01,4399101.0,43.0,F,Construcao,Servicos especializados para construcao,True,False,SIM,NÃO ATENDIDA,True
56263534000165,Condominio Reserva Do Bosque Empreendimento Imobiliario Spe Ltda,Industria | Indústria,2.Média,Incorporação de empreendimentos imobiliários,Migração,True,True,True,SESI + SENAI,2,ATIVA,CONDOMINIO RESERVA DO BOSQUE EMPREENDIMENTO IMOBILIARIO SPE LTDA,INDÚSTRIA,Incorporacao de empreendimentos imobiliarios,DEMAIS,Maceió,56263534000165.0,56263534000165.0,4110-7/00,4110700.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True
56440114000107,Jaragua Panificacao Ltda,Indústria,3.Pequena,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,Migração,True,False,False,SOMENTE SESI,1,ATIVA,JARAGUA PANIFICACAO LTDA,INDÚSTRIA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,PEQUENO PORTE,Maceió,56440114000107.0,,1091-1/02,1091102.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True
56443624000138,Consorcio Br-030-ba,Industria,3.Pequena,Construção de rodovias e ferrovias,Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,CONSORCIO BR-030-BA,INDÚSTRIA,Construcao de rodovias e ferrovias,DEMAIS,Maceió,,56443624000138.0,4211-1/01,4211101.0,42.0,F,Construcao,Obras de infraestrutura,True,False,SIM,NÃO ATENDIDA,True
56635815000100,Kasa E Construcao Ltda,Industria | Indústria,4.Micro,Construção de edifícios,Proposta,True,True,True,SESI + SENAI,2,ATIVA,KASA E CONSTRUCAO LTDA,INDÚSTRIA,Construcao de edificios,MICRO EMPRESA,Arapiraca,56635815000100.0,56635815000100.0,4120-4/00,4120400.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True
56706119000139,Alpexgas Servicos Ltda,Industria | Indústria,4.Micro,"Instalações hidráulicas, sanitárias e de gás",Proposta,True,True,True,SESI + SENAI,2,ATIVA,ALPEXGAS SERVICOS LTDA,INDÚSTRIA,"Instalacoes hidraulicas, sanitarias e de gas",PEQUENO PORTE,Maceió,56706119000139.0,56706119000139.0,4322-3/01,4322301.0,43.0,F,Construcao,Servicos especializados para construcao,True,False,SIM,NÃO ATENDIDA,True
57061366000198,Patio 3 Empreendimento Imobiliario Spe Ltda,Industria,3.Pequena,Incorporação de empreendimentos imobiliários,Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,PATIO 3 EMPREENDIMENTO IMOBILIARIO SPE LTDA,INDÚSTRIA,Incorporacao de empreendimentos imobiliarios,DEMAIS,Maceió,57061366000198.0,57061366000198.0,4110-7/00,4110700.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True
57179215000139,Condominio Reserva Do Cajueiro Empreendimento Imobiliario Spe Ltda,Indústria,2.Média,Incorporação de empreendimentos imobiliários,Migração,True,False,False,SOMENTE SESI,1,ATIVA,CONDOMINIO RESERVA DO CAJUEIRO EMPREENDIMENTO IMOBILIARIO SPE LTDA,INDÚSTRIA,Incorporacao de empreendimentos imobiliarios,DEMAIS,Maceió,57179215000139.0,,4110-7/00,4110700.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True
57245460000105,M A Barros Ltda,Indústria,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,Proposta,True,False,False,SOMENTE SESI,1,ATIVA,M A BARROS LTDA,INDÚSTRIA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,MICRO EMPRESA,Maceió,57245460000105.0,,1091-1/02,1091102.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True
57348178000145,Rlx Comercio De Frutas Ltda,Industria,4.Micro,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,RLX COMERCIO DE FRUTAS LTDA,INDÚSTRIA,"Fabricacao de sucos de frutas, hortalicas e legumes, exceto concentrados",MICRO EMPRESA,Marechal Deodoro,,57348178000145.0,1033-3/02,1033302.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True
57394985000102,A G Sampaio Confeitaria Ltda.,Indústria,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,Migração,True,False,False,SOMENTE SESI,1,ATIVA,GALVAO CONFEITARIA LTDA.,INDÚSTRIA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,PEQUENO PORTE,Maceió,57394985000102.0,,1091-1/02,1091102.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True
57467850000111,Cymi Aguas Alagoas S.a.,Indústria,3.Pequena,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação",Proposta,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
57558651000119,Escola Dom Bosco Maceio Ltda,Não Indústria,4.Micro,Educação infantil - pré-escola,Proposta,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
57645286000180,Bobs Azul Ltda,Nao Industria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",Proposta,False,True,False,SOMENTE SENAI,1,,,,,,,,,,,,,,,,,,,False
57706135000194,Condominio Reserva Aldeprime Empreendimento Imobiliario Spe Ltda,Industria | Indústria,3.Pequena,Incorporação de empreendimentos imobiliários,Migração | Proposta,True,True,True,SESI + SENAI,2,ATIVA,CONDOMINIO RESERVA ALDEPRIME EMPREENDIMENTO IMOBILIARIO SPE LTDA,INDÚSTRIA,Incorporacao de empreendimentos imobiliarios,DEMAIS,Maceió,57706135000194.0,57706135000194.0,4110-7/00,4110700.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True
57727013000184,Ultra Oleo E Jato Comercio E Servicos Automotivos Ltda,Não Indústria,4.Micro,Comércio varejista de lubrificantes,Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
57809328000170,Consorcio Alagoas Br-424-al Lote 2,Industria,2.Média,Construção de rodovias e ferrovias,Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,CONSORCIO ALAGOAS BR-424-AL LOTE 2,INDÚSTRIA,Construcao de rodovias e ferrovias,DEMAIS,Maceió,,57809328000170.0,4211-1/01,4211101.0,42.0,F,Construcao,Obras de infraestrutura,True,False,SIM,NÃO ATENDIDA,True
57876279000199,Tamara Araujo Consultorio Odontologico Ltda,Não Indústria,4.Micro,Atividade odontológica com recursos para realização de procedimentos cirúrgicos,Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
