Origem da Cobertura,CNPJ,Razão Social,Categoria,Porte,CNAE,COBERTURA,CNPJ_NORMALIZADO
Migração,237471000118,"Melro, Sampaio & Cia Ltda",Não Indústria,4.Micro,Comércio varejista de plantas e flores naturais,SESI,00237471000118
Migração,279531000750,Tupan Construcoes Ltda,Não Indústria,3.Pequena,Comércio atacadista de materiais de construção em geral,SESI,00279531000750
Migração,292156000193,Prorede Comercio E Servicos Ltda,Não Indústria,4.Micro,Comércio varejista de materiais de construção não especificados anteriormente,SESI,00292156000193
Migração,298863000197,Farmacia De Manip Derm E Cosmetica Ltda,Não Indústria,4.Micro,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",SESI,00298863000197
Proposta,361941000150,Albuquerque Engenharia Ltda,Indústria,2.Média,Construção de edifícios,SESI,00361941000150
Migração,400203000175,Geovane Veiculos Ltda,Não Indústria,4.Micro,"Comércio a varejo de automóveis, camionetas e utilitários usados",SESI,00400203000175
Migração,405481000115,Maria C Do Sacramento Santos Ferragens Ltda,Não Indústria,4.Micro,Comércio varejista de ferragens e ferramentas,SESI,00405481000115
Migração,407844000151,Lourenco Peixoto Neto,Não Indústria,4.Micro,Comércio varejista de plantas e flores naturais,SESI,00407844000151
Proposta,598187000177,Inove Engenharia Termica Ltda,Indústria,3.Pequena,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração",SESI,00598187000177
Migração,673581000122,Tt Comercio De Areia E Brita E Servicos De Solda Ltda,Não Indústria,4.Micro,"Comércio varejista de cal, areia, pedra britada, tijolos e telhas",SESI,00673581000122
Migração,823434000272,Agricom Agro Industria E Comercio Anadiense Ltda,Não Indústria,4.Micro,Comércio atacadista de produtos alimentícios em geral,SESI,00823434000272
Migração,823434000353,Agricom Agro Industria E Comercio Anadiense Ltda,Não Indústria,4.Micro,Comércio atacadista de produtos alimentícios em geral,SESI,00823434000353
Proposta,837546000100,Ceproal - Centro De Ensino Profissionalizante De Alagoas Ltda,Não Indústria,4.Micro,Educação profissional de nível técnico,SESI,00837546000100
Proposta,930087000104,Prener Engenharia Ltda,Indústria,3.Pequena,Construção de estações e redes de distribuição de energia elétrica,SESI,00930087000104
Migração,961032000153,Multbox Esquadrias De Aluminio Ltda,Indústria,3.Pequena,Fabricação de esquadrias de metal,SESI,00961032000153
Migração,969924000109,F.t.lindoso & Cia. Ltda,Não Indústria,4.Micro,Atividades de condicionamento físico,SESI,00969924000109
Migração,987872000195,Leonia Peixoto Cavalcante,Não Indústria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SESI,00987872000195
Migração,1014074000140,Adilson Ferreira Dos Anjos,Não Indústria,4.Micro,Comércio varejista de materiais de construção em geral,SESI,01014074000140
Migração,1106583000100,Sacramento E Moreira Ltda,Não Indústria,3.Pequena,Restaurantes e similares,SESI,01106583000100
Proposta,1129810000105,Fundo Municipal De Educacao,Não Indústria,4.Micro,Atividades de associações de defesa de direitos sociais,SESI,01129810000105
Migração,1182834000128,Reis & Gomes Ltda,Não Indústria,4.Micro,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,SESI,01182834000128
Migração,1247474000103,Ana M.borges Utiama,Não Indústria,4.Micro,Atividades de podologia,SESI,01247474000103
Proposta,1454407000151,Cardiodinamica Ltda,Não Indústria,2.Média,Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências,SESI,01454407000151
Proposta,1528374000147,Engie Solucoes De Operacao E Manutencao Ltda.,Indústria,1.Grande,Serviços de engenharia,SESI,01528374000147
Migração,1563491000141,Brisamar Pousada Ltda,Não Indústria,4.Micro,Outros alojamentos não especificados anteriormente,SESI,01563491000141
Proposta,1637895000132,Votorantim Cimentos S.a.,Indústria,1.Grande,Fabricação de cimento,SESI,01637895000132
Migração,1656786000162,Grafimar Ltda,Não Indústria,4.Micro,"Edição integrada à impressão de cadastros, listas e outros produtos gráficos",SESI,01656786000162
Migração,1670186000159,Gildete M. Dos Santos Silva Restaurante,Não Indústria,4.Micro,Restaurantes e similares,SESI,01670186000159
Migração,1707112000140,Cooperativa Dos Medicos Da Santa Casa De Maceio,Não Indústria,3.Pequena,Atividades de profissionais da área de saúde não especificadas anteriormente,SESI,01707112000140
Migração,1707112000301,Cooperativa Dos Medicos Da Santa Casa De Maceio,Não Indústria,4.Micro,Atividades de profissionais da área de saúde não especificadas anteriormente,SESI,01707112000301
Migração,1744683000154,Maceoleo Ltda,Não Indústria,4.Micro,Comércio varejista de lubrificantes,SESI,01744683000154
Migração,1771408000120,Jorge Pereira Da Rocha Neto,Não Indústria,4.Micro,"Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes",SESI,01771408000120
Migração,1774589000148,Mestre Cuca Restaurante Ltda,Não Indústria,3.Pequena,Restaurantes e similares,SESI,01774589000148
Migração,1832386000160,Tecserv - Comercio E Servicos Ltda,Não Indústria,4.Micro,Aluguel de máquinas e equipamentos para escritório,SESI,01832386000160
Migração,1839841000150,Gelbanise Oliveira De Almeida,Não Indústria,4.Micro,Comércio varejista de bicicletas e triciclos; peças e acessórios,SESI,01839841000150
Migração,1868460000107,Condominio Residencial Aquarius,Não Indústria,4.Micro,Condomínios prediais,SESI,01868460000107
Migração,1899414000167,Mecbrun-industria E Comercio Ltda,Indústria,3.Pequena,Fabricação de obras de caldeiraria pesada,SESI,01899414000167
Migração,1908548000105,Buffet Izabel Pinheiro Ltda,Não Indústria,4.Micro,Serviços de alimentação para eventos e recepções - bufê,SESI,01908548000105
Migração,2040502000171,Edivaldo Araujo,Não Indústria,4.Micro,Comércio varejista de materiais de construção em geral,SESI,02040502000171
Migração,2180731000191,Casa Para Velhice Luiza De Marillac,Não Indústria,3.Pequena,Atividades de associações de defesa de direitos sociais,SESI,02180731000191
Migração,2285556000105,Mario Calheiros De Lima & Cia Ltda,Não Indústria,4.Micro,Apicultura,SESI,02285556000105
Migração,2297239000109,Distribuidora Comercial E Industrial Rio Branco Ltda,Não Indústria,4.Micro,Comércio atacadista de cereais e leguminosas beneficiados,SESI,02297239000109
Migração,2301846000197,Transmares Corretora De Seguros Ltda,Não Indústria,4.Micro,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",SESI,02301846000197
Migração,2321947000120,"C D I - Centro De Imagem, Diagnostico E Tratamento Ltda",Não Indústria,4.Micro,Serviços de ressonância magnética,SESI,02321947000120
Migração,2327768000108,E L Rocha Dedetizadora,Não Indústria,3.Pequena,Imunização e controle de pragas urbanas,SESI,02327768000108
Proposta,2329713000129,Timac Agro Industria E Comercio De Fertilizantes Ltda,Não Indústria,2.Média,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",SESI,02329713000129
Migração,2417115001698,Sgs Geosol Laboratorios Ltda,Não Indústria,4.Micro,Testes e análises técnicas,SESI,02417115001698
Migração,2481605000177,Conselho Regional De Quimica Da Xvii Regiao,Órgãos Públicos,4.Micro,Administração pública em geral,SESI,02481605000177
Migração,2573575000129,A. Maria Brasil Martins,Não Indústria,4.Micro,Restaurantes e similares,SESI,02573575000129
Migração,2644422000125,Marcogram Comercio De Marmores E Granitos Ltda,Não Indústria,4.Micro,Comércio varejista de materiais de construção não especificados anteriormente,SESI,02644422000125
Migração,2668961000102,Condomnio Casa Da Industria,Não Indústria,4.Micro,Condomínios prediais,SESI,02668961000102
Migração,2789569000103,Eugenio Costa De Souza,Não Indústria,4.Micro,Comércio varejista de artigos do vestuário e acessórios,SESI,02789569000103
Proposta,2857954002437,Amara Net Zero Brasil Ltda,Não Indústria,3.Pequena,"Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis",SESI,02857954002437
Migração,2865907000149,M T Florencio Fernandes & Cia Ltda,Não Indústria,4.Micro,Comércio varejista de artigos do vestuário e acessórios,SESI,02865907000149
Proposta,2867678000100,Nip Global Ltda,Indústria,2.Média,Serviços de engenharia,SESI,02867678000100
Proposta,2890163000112,Andre Luis De Almeda Silva Promocoes E Assessoria Ltda,Não Indústria,4.Micro,"Serviços de organização de feiras, congressos, exposições e festas",SESI,02890163000112
Proposta,2914460000312,Seara Alimentos Ltda,Não Indústria,1.Grande,Serviços combinados de escritório e apoio administrativo,SESI,02914460000312
Migração,2970438000128,Clinica De Cirurgia Plastica Dr. Fernando Lins Ltda,Não Indústria,4.Micro,Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos,SESI,02970438000128
Migração,2995661000120,Cunegundes Nascimento Soares Neto,Não Indústria,4.Micro,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",SESI,02995661000120
Migração,3028774000119,F. M. S. L.. Coretora De Seguros Ltda,Não Indústria,4.Micro,Outras atividades de prestação de serviços de informação não especificadas anteriormente,SESI,03028774000119
Migração,3178923000126,Versan Empreendimentos Limitada,Não Indústria,3.Pequena,Gestão e manutenção de cemitérios,SESI,03178923000126
Migração,3252709000172,Santos & Carvalho Ltda,Não Indústria,4.Micro,"Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens",SESI,03252709000172
Migração,3360646000330,Samplas Industria E Comercio De Plasticos Ltda.,Não Indústria,4.Micro,Comércio varejista de outros artigos de uso doméstico não especificados anteriormente,SESI,03360646000330
Migração,3396460000179,Industria Parisom Ltda,Indústria,4.Micro,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",SESI,03396460000179
Migração,3405567000136,L. B. Comercio De Alimentos Ltda,Não Indústria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SESI,03405567000136
Migração,3507618000130,N S Racoes Ltda,Não Indústria,4.Micro,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,SESI,03507618000130
Proposta,3641462000186,Igreja Em Arapiraca,Não Indústria,4.Micro,Atividades de organizações religiosas,SESI,03641462000186
Migração,3692424000152,Servico Nacional De Aprendizagem Comercial - Senac,Não Indústria,1.Grande,Outras atividades de ensino não especificadas anteriormente,SESI,03692424000152
Migração,3692424000403,Servico Nacional De Aprendizagem Comercial - Senac,Não Indústria,3.Pequena,Outras atividades de ensino não especificadas anteriormente,SESI,03692424000403
Migração,3692424000667,Servico Nacional De Aprendizagem Comercial - Senac,Não Indústria,3.Pequena,Outras atividades de ensino não especificadas anteriormente,SESI,03692424000667
Migração,3692424000900,Servico Nacional De Aprendizagem Comercial - Senac,Não Indústria,4.Micro,Outras atividades de ensino não especificadas anteriormente,SESI,03692424000900
Migração,3692424001124,Servico Nacional De Aprendizagem Comercial - Senac,Não Indústria,3.Pequena,Outras atividades de ensino não especificadas anteriormente,SESI,03692424001124
Migração,3692424001205,Servico Nacional De Aprendizagem Comercial - Senac,Não Indústria,4.Micro,Outras atividades de ensino não especificadas anteriormente,SESI,03692424001205
Migração,3692424001477,Servico Nacional De Aprendizagem Comercial - Senac,Não Indústria,3.Pequena,Outras atividades de ensino não especificadas anteriormente,SESI,03692424001477
Migração,3692424001558,Servico Nacional De Aprendizagem Comercial - Senac,Não Indústria,4.Micro,Outras atividades de ensino não especificadas anteriormente,SESI,03692424001558
Migração,3746272000123,Sian Engenharia Ltda,Indústria,3.Pequena,Construção de edifícios,SESI,03746272000123
Proposta,3773834000128,"Servico Social Da Industria, Departamento Regional De Minas Gerais (sesi / Drmg)",Não Indústria,4.Micro,Outras atividades de ensino não especificadas anteriormente,SESI,03773834000128
Migração,3798336000130,Servico Social Da Industria - Sesi,Não Indústria,2.Média,Outras atividades de ensino não especificadas anteriormente,SESI,03798336000130
Migração,3798361000113,Servico Nacional De Aprendizagem Industrial,Não Indústria,2.Média,Outras atividades de ensino não especificadas anteriormente,SESI,03798361000113
Proposta,3798361000202,Servico Nacional De Aprendizagem Industrial,Não Indústria,3.Pequena,Outras atividades de ensino não especificadas anteriormente,SESI,03798361000202
Migração,3859544000100,Malta & Malta Ltda,Não Indústria,4.Micro,Atividade médica ambulatorial com recursos para realização de exames complementares,SESI,03859544000100
Migração,3866223000124,Medradius Clinica De Medicina Nuclear E Radiologia De Maceio Ltda,Não Indústria,2.Média,"Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia",SESI,03866223000124
Migração,3866223000205,Medradius Clinica De Medicina Nuclear E Radiologia De Maceio Ltda,Não Indústria,2.Média,"Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia",SESI,03866223000205
Migração,3866223000477,Medradius Clinica De Medicina Nuclear E Radiologia De Maceio Ltda,Não Indústria,2.Média,"Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia",SESI,03866223000477
Migração,3887992000109,Cam Clinica De Anestesiologia De Maceio Ltda.,Não Indústria,4.Micro,Atividade médica ambulatorial restrita a consultas,SESI,03887992000109
Proposta,3894943000101,Colegio Sagrada Familia Ltda,Não Indústria,4.Micro,Ensino fundamental,SESI,03894943000101
Migração,3949951000108,Uniao Brasil Transportes Ltda,Não Indústria,3.Pequena,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",SESI,03949951000108
Proposta,3975548000145,Hidroenergia Engenharia E Automacao Ltda,Indústria,4.Micro,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,SESI,03975548000145
Migração,4157373000121,Sindicato Das Industrias Graficas Do Estado De Alagoas,Não Indústria,4.Micro,Atividades de organizações sindicais,SESI,04157373000121
Migração,4267678000196,Escola De Educacao Basica Educar E Construir Ltda,Não Indústria,3.Pequena,Ensino fundamental,SESI,04267678000196
Migração,4307530000138,Lessa & Moura Contabilidade E Consultoria Empresarial S/s,Não Indústria,4.Micro,Atividades de contabilidade,SESI,04307530000138
Migração,4342459000124,Sesc-administracao Regional No Estado De Alagoas,Não Indústria,2.Média,Serviços de assistência social sem alojamento,SESI,04342459000124
Migração,4342459000205,Sesc-administracao Regional No Estado De Alagoas,Não Indústria,3.Pequena,Serviços de assistência social sem alojamento,SESI,04342459000205
Migração,4342459000396,Sesc-administracao Regional No Estado De Alagoas,Não Indústria,3.Pequena,Serviços de assistência social sem alojamento,SESI,04342459000396
Migração,4342459000477,Sesc-administracao Regional No Estado De Alagoas,Não Indústria,4.Micro,Serviços de assistência social sem alojamento,SESI,04342459000477
Migração,4342459000558,Sesc-administracao Regional No Estado De Alagoas,Não Indústria,4.Micro,Serviços de assistência social sem alojamento,SESI,04342459000558
Migração,4342459000639,Sesc-administracao Regional No Estado De Alagoas,Não Indústria,3.Pequena,Serviços de assistência social sem alojamento,SESI,04342459000639
Migração,4342459000710,Sesc-administracao Regional No Estado De Alagoas,Não Indústria,3.Pequena,Serviços de assistência social sem alojamento,SESI,04342459000710
Migração,4396985000177,Previparq Ltda,Não Indústria,2.Média,Serviços de funerárias,SESI,04396985000177
Migração,4396985000410,Previparq Ltda,Não Indústria,4.Micro,Serviços de funerárias,SESI,04396985000410
Migração,4396985000681,Previparq Ltda,Não Indústria,3.Pequena,Serviços de funerárias,SESI,04396985000681
Migração,4396985000762,Previparq Ltda,Não Indústria,3.Pequena,Serviços de funerárias,SESI,04396985000762
Migração,4408182000195,"Clenio Pacheco Franco, Advogados E Consultores Juridicos",Não Indústria,4.Micro,Serviços advocatícios,SESI,04408182000195
Migração,4433402000130,Colegio Santissimo Senhor Ltda,Não Indústria,3.Pequena,Ensino médio,SESI,04433402000130
Migração,4454766000105,Elias Nunes De Oliveira,Não Indústria,4.Micro,Comércio varejista de ferragens e ferramentas,SESI,04454766000105
Migração,4532525000129,Eletrocomp Ltda,Não Indústria,4.Micro,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,SESI,04532525000129
Migração,4540885000172,Lara De Araujo Amorim,Não Indústria,4.Micro,Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente,SESI,04540885000172
Migração,4606375000150,Restaurante E Cachacaria Divina Gula Ltda,Não Indústria,3.Pequena,Restaurantes e similares,SESI,04606375000150
Proposta,4638833000133,E2ps Engenharia E Equipamentos Industriais Ltda,Indústria,2.Média,"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios",SESI,04638833000133
Migração,4735910000173,Sociedade Cunha & Madureira Ltda,Não Indústria,4.Micro,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",SESI,04735910000173
Migração,4735910000254,Sociedade Cunha & Madureira Ltda,Não Indústria,4.Micro,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",SESI,04735910000254
Migração,4735910000335,Sociedade Cunha & Madureira Ltda,Não Indústria,4.Micro,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",SESI,04735910000335
Migração,4735910000416,Sociedade Cunha & Madureira Ltda,Não Indústria,4.Micro,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",SESI,04735910000416
Migração,4767762000179,Mercadao Das Miudezas E Papelaria Ltda,Não Indústria,4.Micro,Comercio varejista de artigos de armarinho,SESI,04767762000179
Migração,4789378000177,Terral Corretora E Intermediacao De Negocios Ltda,Não Indústria,4.Micro,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",SESI,04789378000177
Migração,4790656000106,Abreu & Silva Distribuidor Ltda.,Não Indústria,3.Pequena,Comércio atacadista de materiais de construção em geral,SESI,04790656000106
Migração,4874651000161,Maria Das Gracas B. Santos,Não Indústria,4.Micro,Comércio varejista de artigos do vestuário e acessórios,SESI,04874651000161
Proposta,4928281000106,Mervil - Mercantil Vieira Ltda,Não Indústria,1.Grande,Comércio atacadista de produtos alimentícios em geral,SESI,04928281000106
Proposta,5012368000193,Elg Pedestais Ltda,Não Indústria,3.Pequena,Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente,SESI,05012368000193
Migração,5042855000107,Aluisio Luis Dos Santos  Ltda,Não Indústria,3.Pequena,Comércio atacadista de produtos alimentícios em geral,SESI,05042855000107
Proposta,5154589000449,Oliveira E Nobre Supermercado Ltda,Não Indústria,2.Média,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",SESI,05154589000449
Proposta,5325467000206,D A L Comercio Ltda,Não Indústria,4.Micro,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",SESI,05325467000206
Proposta,5415557000107,L P Magicel Corretora E Administradora De Seguros Ltda,Não Indústria,2.Média,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",SESI,05415557000107
Migração,5419173000162,Luci Pereira Dos Santos,Não Indústria,4.Micro,Comércio atacadista de produtos alimentícios em geral,SESI,05419173000162
Migração,5481218000129,Nascimento & Falcao Ltda,Não Indústria,4.Micro,Comércio varejista de ferragens e ferramentas,SESI,05481218000129
Migração,5502102000129,Centro De Seguranca Veicular Ltda,Não Indústria,4.Micro,Testes e análises técnicas,SESI,05502102000129
Migração,5559112000109,Nova Harcos Corretora De Seguros Ltda,Não Indústria,3.Pequena,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",SESI,05559112000109
Proposta,5623256000179,Inside Sistemas Ltda,Indústria,2.Média,Desenvolvimento e licenciamento de programas de computador não-customizáveis,SESI,05623256000179
Migração,5771122000103,Am Incorporacoes E Administracoes Ltda,Não Indústria,4.Micro,Serviços de sepultamento,SESI,05771122000103
Migração,5898710000102,Ana Cristina Dos Santos Costa,Não Indústria,4.Micro,"Comércio varejista de suvenires, bijuterias e artesanatos",SESI,05898710000102
Migração,5900886000143,Escola Padre Pierre Vigne Ltda,Não Indústria,3.Pequena,Ensino fundamental,SESI,05900886000143
Migração,5902038000254,Iabs - Instituto Brasileiro De Desenvolvimento E Sustentabilidade,Não Indústria,4.Micro,Atividades de associações de defesa de direitos sociais,SESI,05902038000254
Migração,5954139000198,Clinica De Cardiologia Avancada Ltda,Não Indústria,3.Pequena,Atividade médica ambulatorial com recursos para realização de exames complementares,SESI,05954139000198
Migração,5954139000279,Clinica De Cardiologia Avancada Ltda,Não Indústria,4.Micro,Atividade médica ambulatorial com recursos para realização de exames complementares,SESI,05954139000279
Migração,5957520000100,Karina F. Da S. C. De Aquino,Não Indústria,4.Micro,Comércio varejista de outros produtos não especificados anteriormente,SESI,05957520000100
Migração,5966389000148,L F M W Cartisano,Não Indústria,4.Micro,Comércio varejista de tintas e materiais para pintura,SESI,05966389000148
Migração,5996028000144,Varejao Dos Doces Ltda,Não Indústria,3.Pequena,"Comércio varejista de doces, balas, bombons e semelhantes",SESI,05996028000144
Migração,5996028000306,Varejao Dos Doces Ltda,Não Indústria,3.Pequena,"Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes",SESI,05996028000306
Migração,6009273000183,Memorial Parque De Maceio Ltda,Não Indústria,3.Pequena,Gestão e manutenção de cemitérios,SESI,06009273000183
Proposta,6043133000121,Gentil Aurelio Rodrigues,Indústria,4.Micro,Obras de acabamento em gesso e estuque,SESI,06043133000121
Migração,6197766000194,H A Menezes Santos,Não Indústria,4.Micro,Comércio a varejo de peças e acessórios novos para veículos automotores,SESI,06197766000194
Migração,6210697000101,K C A De Melo & Cia Ltda,Não Indústria,4.Micro,Atividades de monitoramento de sistemas de segurança eletrônico,SESI,06210697000101
Migração,6227963000109,Auto Viacao Mae Do Salvador Ltda,Não Indústria,4.Micro,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",SESI,06227963000109
Migração,6228417000192,Madebras Atacado De Madeiras Ltda,Não Indústria,3.Pequena,Comércio atacadista de materiais de construção em geral,SESI,06228417000192
Migração,6304474000103,Moura E Moura Servicos Medicos Ltda,Não Indústria,4.Micro,"Serviços de diagnóstico por registro gráfico - ECG, EEG e outros exames análogos",SESI,06304474000103
Proposta,6326419000114,Acquaplan Tecnologia E Consultoria Ambiental Ltda,Não Indústria,4.Micro,"Outras atividades profissionais, científicas e técnicas não especificadas anteriormente",SESI,06326419000114
Migração,6371307000185,Harcos Comercio E Servicos Ltda,Não Indústria,4.Micro,Promoção de vendas,SESI,06371307000185
Migração,6371307000347,Harcos Comercio E Servicos Ltda,Não Indústria,4.Micro,Promoção de vendas,SESI,06371307000347
Migração,6371307000509,Harcos Comercio E Servicos Ltda,Não Indústria,4.Micro,Promoção de vendas,SESI,06371307000509
Migração,6371307000690,Harcos Comercio E Servicos Ltda,Não Indústria,4.Micro,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",SESI,06371307000690
Migração,6371307000770,Harcos Comercio E Servicos Ltda,Não Indústria,4.Micro,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",SESI,06371307000770
Migração,6371307000851,Harcos Comercio E Servicos Ltda,Não Indústria,4.Micro,Promoção de vendas,SESI,06371307000851
Migração,6371307001580,Harcos Comercio E Servicos Ltda,Não Indústria,4.Micro,Promoção de vendas,SESI,06371307001580
Migração,6371307001742,Harcos Comercio E Servicos Ltda,Não Indústria,4.Micro,Promoção de vendas,SESI,06371307001742
Migração,6371307001823,Harcos Comercio E Servicos Ltda,Não Indústria,4.Micro,Promoção de vendas,SESI,06371307001823
Migração,6371307001904,Harcos Comercio E Servicos Ltda,Não Indústria,4.Micro,Promoção de vendas,SESI,06371307001904
Migração,6371325000167,Masterop Operadora Turistica Ltda,Não Indústria,3.Pequena,Agências de viagens,SESI,06371325000167
Migração,6372095000150,W.l.monteiro,Não Indústria,4.Micro,"Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante",SESI,06372095000150
Migração,6931419000143,Escola Pequenos Brilhantes Ltda,Não Indústria,4.Micro,Ensino fundamental,SESI,06931419000143
Proposta,6964752000159,P3 Engenharia Eletrica Ltda,Indústria,2.Média,Serviços de engenharia,SESI,06964752000159
Migração,7036026000139,Igreja Batista El Shadday De Arapiraca,Não Indústria,4.Micro,Atividades de organizações religiosas,SESI,07036026000139
Migração,7042588000195,Bomfim & Jatoba Advogados Associados,Não Indústria,4.Micro,Serviços advocatícios,SESI,07042588000195
Migração,7051560000114,Cemi - Com. De Equipamentos E Manutencao Em Informatica Ltda,Não Indústria,4.Micro,Recarga de cartuchos para equipamentos de informática,SESI,07051560000114
Proposta,7119626000160,Bdo Rcs Gestao Empresarial Ltda,Não Indústria,4.Micro,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",SESI,07119626000160
Migração,7256880000100,Germano Regueira Advogados,Não Indústria,4.Micro,Serviços advocatícios,SESI,07256880000100
Migração,7302129000101,J. C. Da Silva & Silva Ltda,Não Indústria,3.Pequena,Serviços combinados de escritório e apoio administrativo,SESI,07302129000101
Migração,7326239000103,C H Sampaio,Não Indústria,4.Micro,Comércio varejista de calçados,SESI,07326239000103
Proposta,7337276000109,Shl-servicos De Hospedagens Ltda,Não Indústria,2.Média,Hotéis,SESI,07337276000109
Migração,7355891000148,Almar Pesquisa E Desenvolvimento Experimental Em Ciencias Fisicas E Naturais Ltda,Não Indústria,4.Micro,Pesquisa e desenvolvimento experimental em ciências físicas e naturais,SESI,07355891000148
Proposta,7471959000154,Escola De Educacao Basica Millenium Ltda,Não Indústria,4.Micro,Ensino fundamental,SESI,07471959000154
Migração,7472625000103,Reciclal Industria E Comercio De Metais Ltda,Não Indústria,4.Micro,Comércio atacadista de resíduos e sucatas metálicos,SESI,07472625000103
Migração,7480558000160,Clinilar Home Care Ltda,Não Indústria,4.Micro,Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio,SESI,07480558000160
Migração,7648847000126,Arraes Comercio De Pecas E Servicos Automotivos Ltda,Não Indústria,4.Micro,Comércio a varejo de peças e acessórios novos para veículos automotores,SESI,07648847000126
Migração,7771407000161,Comercial Popular Ltda,Não Indústria,3.Pequena,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",SESI,07771407000161
Migração,7849197000187,Diniz & Rocha Ltda,Não Indústria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SESI,07849197000187
Migração,7849197000349,Diniz & Rocha Ltda,Não Indústria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SESI,07849197000349
Migração,7982350000140,Silva E Simiao Ltda,Não Indústria,4.Micro,Comércio varejista de materiais de construção em geral,SESI,07982350000140
Migração,8075562000106,Pousada Sonho Meu Ltda,Não Indústria,4.Micro,Hotéis,SESI,08075562000106
Migração,8092429000168,Pinheiro Empreendimentos Turisticos Ltda,Não Indústria,4.Micro,Hotéis,SESI,08092429000168
Migração,8099802000102,Jose Afonso Dos Anjos,Não Indústria,4.Micro,Comércio varejista de equipamentos para escritório,SESI,08099802000102
Proposta,8183359000153,Prodiet Nutricao Clinica S.a,Indústria,2.Média,Fabricação de outros produtos alimentícios não especificados anteriormente,SESI,08183359000153
Proposta,8282818000156,Alfa Empreendimentos E Participacoes S.a,Não Indústria,3.Pequena,Holdings de instituições não-financeiras,SESI,08282818000156
Migração,8342516000126,Sabor De Minas Comercio Ltda,Não Indústria,4.Micro,Restaurantes e similares,SESI,08342516000126
Migração,8364485000295,Nova Empreendimentos Hoteleiros Ltda,Não Indústria,3.Pequena,Hotéis,SESI,08364485000295
Migração,8401328000121,Centro Pedagogico Ensinar E Construir Ltda,Não Indústria,3.Pequena,Ensino fundamental,SESI,08401328000121
Migração,8413825000140,Pimentel Lopes Engenharia E Arquitetura Ltda,Indústria,3.Pequena,Serviços de engenharia,SESI,08413825000140
Proposta,8467115000100,Companhia Estadual De Distribuicao De Energia Eletrica - Ceee-d,Indústria,3.Pequena,Distribuição de energia elétrica,SESI,08467115000100
Migração,8474125000165,Aderaldo Teixeira Neves,Não Indústria,4.Micro,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",SESI,08474125000165
Proposta,8507416000102,Tmk Servicos E Montagens Ltda,Indústria,4.Micro,Construção de estações e redes de distribuição de energia elétrica,SESI,08507416000102
Migração,8513910000180,Armazem Comercio E Imp De Material De Construcao Ltda,Não Indústria,3.Pequena,Comércio varejista de materiais de construção em geral,SESI,08513910000180
