Origem da Cobertura,CNPJ,Razão Social,Categoria,Porte,CNAE,COBERTURA,CNPJ_NORMALIZADO
Migração,50381197000124,F L C Da S Buarque Policlinica,Não Indústria,4.Micro,Atividade médica ambulatorial com recursos para realização de exames complementares,SESI,50381197000124
Migração,50381212000134,Albuquerque Medicos Associados Ltda,Não Indústria,4.Micro,Atividade médica ambulatorial restrita a consultas,SESI,50381212000134
Migração,50527176000174,Centro De Estetica Avancado Ltda,Não Indústria,4.Micro,Outras atividades de tratamento de beleza,SESI,50527176000174
Proposta,50567288000744,Sociedade Michelin De Participacoes Indust E Comercio Ltda,Indústria,2.Média,Fabricação de pneumáticos e de câmaras-de-ar,SESI,50567288000744
Migração,50583563000128,G D R Gelados Comercio Varejista Ltda,Não Indústria,3.Pequena,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,SESI,50583563000128
Migração,50600889000116,50.600.889 Ana Karina Menezes De Aquino Franca,Não Indústria,4.Micro,Restaurantes e similares,SESI,50600889000116
Migração,50811328000166,Martta B De Lima Soluster Contabil,Não Indústria,4.Micro,Atividades de contabilidade,SESI,50811328000166
Migração,50935966000199,Space Gym Ltda,Não Indústria,4.Micro,Atividades de condicionamento físico,SESI,50935966000199
Migração,51401276000112,Sanctus Empreendimentos Imobiliarios Ltda,Não Indústria,4.Micro,Gestão e administração da propriedade imobiliária,SESI,51401276000112
Migração,51533527000112,Atacadista De Fraldas Mundial Ltda,Não Indústria,4.Micro,Comércio atacadista de produtos de higiene pessoal,SESI,51533527000112
Migração,51554396000150,Beef House Ltda,Não Indústria,4.Micro,Comércio varejista de carnes - açougues,SESI,51554396000150
Migração,51573010000157,Y T Melo Ltda,Não Indústria,4.Micro,Atividades de cobrança e informações cadastrais,SESI,51573010000157
Migração,51588175000100,Fernanda Moreira Santos,Não Indústria,4.Micro,Atividades veterinárias,SESI,51588175000100
Migração,51660007000170,Angiosaude Servicos Medicos Ltda,Não Indústria,4.Micro,Atividade médica ambulatorial com recursos para realização de exames complementares,SESI,51660007000170
Migração,51879879000124,Eny Pneus Auto Service Ltda,Não Indústria,4.Micro,Comércio a varejo de peças e acessórios novos para veículos automotores,SESI,51879879000124
Migração,51899013000185,Petroworks Do Brasil Ltda.,Indústria,3.Pequena,Perfurações e sondagens,SESI,51899013000185
Migração,52110730000149,Rma Distribuidora Ltda,Não Indústria,4.Micro,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",SESI,52110730000149
Migração,52386063000121,Harcos Corretora De Seguros Ltda,Não Indústria,4.Micro,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",SESI,52386063000121
Proposta,52618139000105,Legrand Brasil Ltda,Não Indústria,3.Pequena,Serviços combinados de escritório e apoio administrativo,SESI,52618139000105
Migração,52650507000194,Ultra Cafe Ltda,Não Indústria,4.Micro,Comércio varejista de mercadorias em lojas de conveniência,SESI,52650507000194
Migração,52803309000113,Voe Home Automacao Ltda,Não Indústria,4.Micro,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,SESI,52803309000113
Migração,52920999000190,Buffet Farol Ltda,Não Indústria,3.Pequena,Serviços de alimentação para eventos e recepções - bufê,SESI,52920999000190
Proposta,52924246000153,Instituto Santa Afra,Não Indústria,4.Micro,Educação infantil - pré-escola,SESI,52924246000153
Migração,53281653000152,Rocha & Maranhao Ltda,Não Indústria,4.Micro,Atividade médica ambulatorial restrita a consultas,SESI,53281653000152
Migração,53622004000178,53.622.004 Meirilany Pereira Nascimento,Não Indústria,4.Micro,Comércio varejista de tecidos,SESI,53622004000178
Migração,54004943000111,Lr Mello Colchoes Ltda.,Não Indústria,4.Micro,"Comercio varejista de artigos de cama, mesa e banho",SESI,54004943000111
Migração,54153370000198,Ferreira Araujo Servicos Ltda,Não Indústria,3.Pequena,Serviços combinados de escritório e apoio administrativo,SESI,54153370000198
Migração,54202484000180,D S Comercio De Eucalipto Ltda,Indústria,4.Micro,"Fabricação de artefatos diversos de madeira, exceto móveis",SESI,54202484000180
Migração,54347636000133,Alagoana Buffet E Servicos Ltda,Não Indústria,3.Pequena,Serviços combinados de escritório e apoio administrativo,SESI,54347636000133
Migração,54365049000177,Japa Bowl Ltda,Não Indústria,4.Micro,Restaurantes e similares,SESI,54365049000177
Migração,54787099000142,Croassaria Da Dressa Ltda,Não Indústria,4.Micro,Restaurantes e similares,SESI,54787099000142
Migração,54845919000105,M E Dos S Silva,Não Indústria,4.Micro,Comércio a varejo de peças e acessórios novos para veículos automotores,SESI,54845919000105
Migração,54922060000190,A B Gomes Lucena,Não Indústria,4.Micro,Atividade médica ambulatorial restrita a consultas,SESI,54922060000190
Proposta,54991602000187,D F Servicos De Apoio Administrativo Ltda,Não Indústria,3.Pequena,Serviços combinados de escritório e apoio administrativo,SESI,54991602000187
Migração,55034633000102,Fb Locacoes E Servicos Ltda,Não Indústria,4.Micro,Outras atividades de prestação de serviços de informação não especificadas anteriormente,SESI,55034633000102
Migração,55065115000156,Hotel Quatro Coracoes Ltda,Não Indústria,4.Micro,Hotéis,SESI,55065115000156
Proposta,55066699000184,Condominio Pier Norte,Não Indústria,3.Pequena,Condomínios prediais,SESI,55066699000184
Proposta,55176486000105,55.176.486 Lucas Medeiros Marinho,Não Indústria,4.Micro,Restaurantes e similares,SESI,55176486000105
Migração,55297144000143,Narayana Locacoes De Equipamentos Ltda,Não Indústria,4.Micro,Aluguel de máquinas e equipamentos para escritório,SESI,55297144000143
Migração,55304253000140,Hora Extra Administrativo Ltda,Não Indústria,4.Micro,Outras atividades de prestação de serviços de informação não especificadas anteriormente,SESI,55304253000140
Migração,55436580000156,R F F Servicos Administrativos Ltda,Não Indústria,4.Micro,Serviços combinados de escritório e apoio administrativo,SESI,55436580000156
Migração,55553907000170,Restaurante Cheiro Da Terra Frances Ltda,Não Indústria,3.Pequena,Restaurantes e similares,SESI,55553907000170
